"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","GF/60","GA/60","GF%","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"","Kyle Clifford","L.A","L","21","206.05","9.8119047619048","58.9","48.08","55.06","1.18","2.65","30.89","13.1","18.35","22.42","36.89"
"","Miikka Salomaki","NSH","R","36","342.46666666667","9.512962962963","52.6","48.03","52.27","2.13","2.97","41.85","13.67","20.85","26.81","33.77"
"","Brendan Lemieux","WPG","L","8","56.733333333333","7.0916666666667","40.91","47.86","46.09","2.13","1.04","67.28","10.58","23.27","20.09","34.48"
"","Trevor Carrick","CAR","D","1","6.2333333333333","6.2333333333333","66.13","47.77","58.06","0","0","0.00","28.88","38.5","9.63","75.00"
"","Gemel Smith","DAL","C","31","282.31666666667","9.1069892473118","55.44","47.55","53.83","2.57","1.3","66.33","14.24","23.17","16.15","46.85"
"","Calle Rosen","TOR","D","4","47.1","11.775","59.24","47.51","55.49","1.21","3.99","23.32","26.75","21.66","12.74","67.74"
"","Austin Czarnik","BOS","C","7","64.4","9.2","57.07","47.48","54.59","0.87","3.78","18.77","28.88","25.16","11.18","72.09"
"","Taylor Leier","PHI","L","34","304.55","8.9573529411765","53.39","47.43","52.96","1.59","2.38","40.16","17.34","21.28","16.55","51.16"
"","Liam O'Brien","WSH","C","3","20.533333333333","6.8444444444444","29.46","47.36","38.35","0","0","0.00","26.3","23.38","11.69","69.23"
"","Eric Fehr","TOR","C","4","27.166666666667","6.7916666666667","44.08","46.84","48.48","2.1","4.31","32.79","6.63","22.09","26.5","20.00"
"","Jason Dickinson","DAL","C","12","112.83333333333","9.4027777777778","48.66","46.66","51.05","0.54","1.01","34.63","13.83","18.61","13.29","50.98"
"","Paul LaDue","L.A","D","3","37.233333333333","12.411111111111","75.7","46.52","61.94","4.85","1.51","76.23","25.78","14.5","11.28","69.57"
"","Gabriel Dumont","T.B","C","7","68.15","9.7357142857143","55.71","46.5","54.51","0.83","0.81","50.43","19.37","24.65","23.77","44.90"
"","Torrey Mitchell","MTL","C","11","87.766666666667","7.9787878787879","57.81","46.45","55.45","1.41","1.28","52.34","15.04","26.66","16.41","47.83"
"","Stefan Matteau","VGK","C","5","38.9","7.78","78.87","46.4","62.96","1.57","0","100.00","30.85","9.25","21.59","58.82"
"","Frank Vatrano","BOS","C","24","209.11666666667","8.7131944444444","60.89","46.06","56.93","1.38","1.96","41.33","24.96","24.68","12.05","67.44"
"","Adam Lowry","WPG","C","35","417.88333333333","11.939523809524","61.44","45.2","57.62","2.3","1.84","55.64","15.94","25.99","23.98","39.93"
"","David Warsofsky","COL","D","1","15.033333333333","15.033333333333","68.24","44.88","60.33","0","0","0.00","23.95","11.97","3.99","85.71"
"","Jordan Schmaltz","STL","D","4","45.133333333333","11.283333333333","41.99","44.78","48.39","1.24","1.41","46.73","27.92","15.95","14.62","65.63"
"","Nathan Walker","WSH","L","7","57.716666666667","8.2452380952381","42.51","44.7","48.74","3.05","1.98","60.69","15.59","20.79","20.79","42.86"
"","Brett Ritchie","DAL","R","45","405.53333333333","9.0118518518519","61.74","44.67","58.02","2.26","1.26","64.29","15.68","22.19","18.49","45.89"
"","Dominic Toninato","COL","C","16","116.68333333333","7.2927083333333","55.63","43.82","55.94","1.55","1.49","50.98","19.54","22.11","10.8","64.41"
"","Curtis McKenzie","DAL","L","4","29.7","7.425","65.51","43.58","60.05","4.28","0","100.00","10.1","28.28","10.1","50.00"
"","Justin Kloos","MIN","C","1","8.55","8.55","61.11","43.47","58.43","0","0","0.00","14.04","7.02","7.02","66.67"
"","Matt Grzelcyk","BOS","D","32","444.18333333333","13.880729166667","63.59","43.32","59.48","3.38","1.08","75.85","23.23","27.42","14.99","60.78"
"","Josh Archibald","PIT","R","3","26.85","8.95","54.99","43.09","56.06","2.28","2.37","48.94","15.64","29.05","17.88","46.67"
"","Joseph Blandisi","ANA","C","3","33.066666666667","11.022222222222","45.62","42.58","51.72","3.77","0","100.00","10.89","21.77","16.33","40.00"
"","Christian Jaros","OTT","D","2","13.75","6.875","48.94","42.56","53.48","0","0","0.00","26.18","30.55","13.09","66.67"
"","Matt Read","PHI","R","4","40.516666666667","10.129166666667","45.36","42.03","51.90","1.51","0","100.00","17.77","16.29","10.37","63.16"
"","Nick Paul","OTT","L","11","83.666666666667","7.6060606060606","49.98","41.54","54.61","0.68","3.67","15.69","19.36","17.21","3.59","84.38"
"","Brad Malone","EDM","C","7","48.333333333333","6.9047619047619","57.27","40.92","58.33","0","0","0.00","14.9","22.34","21.1","41.38"
"","Daniel Sprong","PIT","R","8","100.38333333333","12.547916666667","68.6","40.25","63.02","3.04","1.88","61.80","20.32","22.71","20.92","49.28"
"","Janne Kuokkanen","CAR","C","4","42.433333333333","10.608333333333","78.7","37.98","67.45","0","4.47","0.00","25.45","24.04","15.55","62.07"
"","Kevin Rooney","N.J","C","1","10.95","10.95","44.19","34.39","56.24","0","0","0.00","32.88","5.48","5.48","85.71"
"","Anthony Peluso","WSH","R","2","9.2833333333333","4.6416666666667","25.65","32.31","44.26","0","0","0.00","12.93","38.78","12.93","50.00"
"","Vladislav Kamenev","COL","C","1","4.1","4.1","46.58","0","100.00","0","0","0.00","0","29.27","29.27","0.00"
