"Player","Season","Team","Position","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"DUNCAN.KEITH","2017-2018","CHI","D",52,925.15,1033,891,142,53.69,66.99,57.79,737,680,57,52.01,47.8,44.1,543,509,34,51.62,35.22,33.01,33,36,-3,47.83,2.14,2.33,41.43,40.09,1.34,50.82,2.69,2.6,70,54,-16,4.54,3.5,6.08,92.93,4.48,94.71,5.62,94.1,-1.14,0.6,99,99.73,-0.72
"DUSTIN.BROWN","2017-2018","L.A","L",52,723.43,715,625,90,53.36,59.3,51.84,518,468,50,52.54,42.96,38.82,367,321,46,53.34,30.44,26.62,34,17,17,66.67,2.82,1.41,28.04,26.44,1.6,51.47,2.33,2.19,33,38,5,2.74,3.15,9.26,94.7,6.56,96.37,5.41,94.35,1.15,2.02,103.97,99.76,4.2
"DUSTIN.BYFUGLIEN","2017-2018","WPG","D",41,755.45,673,695,-22,49.2,53.45,55.2,502,517,-15,49.26,39.87,41.06,352,366,-14,49.03,27.96,29.07,27,27,0,50,2.14,2.14,26.94,26.46,0.48,50.45,2.14,2.1,63,55,-8,5,4.37,7.67,92.62,5.38,94.78,5.37,94.88,0.01,-0.1,100.29,100.25,0.04
"DYLAN.DEMELO","2017-2018","S.J","D",33,396.82,390,373,17,51.11,58.97,56.4,294,268,26,52.31,44.45,40.52,203,183,20,52.59,30.69,27.67,16,7,9,69.57,2.42,1.06,16.91,12.65,4.26,57.21,2.56,1.91,31,26,-5,4.69,3.93,7.88,96.17,5.44,97.39,5.75,95.28,-0.31,2.11,104.06,101.03,3.03
"DYLAN.LARKIN","2017-2018","DET","C",50,737.58,721,706,15,50.53,58.65,57.43,566,519,47,52.17,46.04,42.22,393,395,-2,49.87,31.97,32.13,31,36,-5,46.27,2.52,2.93,32.8,34.72,-1.92,48.58,2.67,2.82,43,49,6,3.5,3.99,7.89,90.89,5.48,93.06,5.8,93.31,-0.32,-0.25,98.77,99.11,-0.33
"DYLAN.STROME","2017-2018","ARI","C",11,117.3,108,131,-23,45.19,55.24,67.01,86,95,-9,47.51,43.99,48.59,61,64,-3,48.8,31.2,32.74,2,2,0,50,1.02,1.02,4.71,5.52,-0.81,46.04,2.41,2.82,7,10,3,3.58,5.12,3.28,96.88,2.33,97.89,5.48,94.19,-3.15,3.71,100.15,99.67,0.49
"ELIAS.LINDHOLM","2017-2018","CAR","C",52,663.1,680,658,22,50.82,61.53,59.54,499,484,15,50.76,45.15,43.79,368,343,25,51.76,33.3,31.04,23,29,-6,44.23,2.08,2.62,27.51,26.93,0.58,50.53,2.49,2.44,33,34,1,2.99,3.08,6.25,91.55,4.61,94.01,5.51,94.44,-0.9,-0.43,97.8,99.95,-2.15
"ERIC.GRYBA","2017-2018","EDM","D",21,273.93,294,243,51,54.75,64.4,53.23,221,177,44,55.53,48.41,38.77,161,134,27,54.58,35.26,29.35,14,14,0,50,3.07,3.07,13.46,11.93,1.53,53.01,2.95,2.61,23,13,-10,5.04,2.85,8.7,89.55,6.33,92.09,6.09,93.26,0.24,-1.17,98.25,99.35,-1.1
"ERIC.STAAL","2017-2018","MIN","C",52,698.25,662,716,-54,48.04,56.89,61.53,509,551,-42,48.02,43.74,47.35,386,409,-23,48.55,33.17,35.15,36,39,-3,48,3.09,3.35,29.78,27.25,2.53,52.22,2.56,2.34,42,42,0,3.61,3.61,9.33,90.46,7.07,92.92,5.85,95.05,1.22,-2.13,99.79,100.91,-1.11
"ERIK.GUDBRANSON","2017-2018","VAN","D",33,498.3,372,506,-134,42.37,44.79,60.93,278,386,-108,41.87,33.47,46.48,190,276,-86,40.77,22.88,33.23,13,16,-3,44.83,1.57,1.93,13.88,18.84,-4.96,42.42,1.67,2.27,33,33,0,3.97,3.97,6.84,94.2,4.68,95.85,4.99,95.12,-0.32,0.74,101.05,100.11,0.93
"ERIK.GUSTAFSSON","2017-2018","CHI","D",7,115.33,121,125,-4,49.19,62.95,65.03,92,94,-2,49.46,47.86,48.9,62,64,-2,49.21,32.26,33.3,5,6,-1,45.45,2.6,3.12,5.3,5.32,-0.02,49.91,2.76,2.77,1,7,6,0.52,3.64,8.06,90.62,5.43,93.62,5.76,94.34,-0.33,-0.72,98.69,100.1,-1.41
"ERIK.HAULA","2017-2018","VGK","L",48,641.07,611,635,-24,49.04,57.19,59.43,438,464,-26,48.56,40.99,43.43,315,341,-26,48.02,29.48,31.92,30,34,-4,46.88,2.81,3.18,21.75,23.86,-2.11,47.69,2.04,2.23,32,38,6,2.99,3.56,9.52,90.03,6.85,92.67,4.97,94.86,1.88,-2.19,99.55,99.82,-0.27
"ERIK.JOHNSON","2017-2018","COL","D",49,940.73,858,899,-41,48.83,54.72,57.34,634,663,-29,48.88,40.44,42.29,474,481,-7,49.63,30.23,30.68,42,38,4,52.5,2.68,2.42,32.64,32.12,0.52,50.4,2.08,2.05,70,68,-2,4.46,4.34,8.86,92.1,6.62,94.27,5.15,95.16,1.48,-0.89,100.96,100.3,0.66
"ERIK.KARLSSON","2017-2018","OTT","D",46,922.78,912,861,51,51.44,59.3,55.98,664,639,25,50.96,43.17,41.55,475,472,3,50.16,30.88,30.69,32,52,-20,38.1,2.08,3.38,34.19,36.63,-2.44,48.28,2.22,2.38,41,46,5,2.67,2.99,6.74,88.98,4.82,91.86,5.15,94.27,-0.33,-2.41,95.72,99.42,-3.7
"ESA.LINDELL","2017-2018","DAL","D",54,944.25,962,835,127,53.53,61.13,53.06,699,624,75,52.83,44.42,39.65,527,447,80,54.11,33.49,28.4,46,31,15,59.74,2.92,1.97,42.2,31.94,10.26,56.92,2.68,2.03,62,65,3,3.94,4.13,8.73,93.06,6.58,95.03,6.04,94.88,0.54,0.15,101.79,100.92,0.87
"EVANDER.KANE","2017-2018","BUF","L",52,778.05,743,745,-2,49.93,57.3,57.45,587,576,11,50.47,45.27,44.42,451,425,26,51.48,34.78,32.77,27,33,-6,45,2.08,2.54,30.45,30.94,-0.49,49.6,2.35,2.39,50,48,-2,3.86,3.7,5.99,92.24,4.6,94.27,5.19,94.63,-0.59,-0.36,98.22,99.82,-1.59
"EVAN.RODRIGUES","2017-2018","BUF","C",23,243.7,196,229,-33,46.12,48.26,56.38,148,180,-32,45.12,36.44,44.32,112,137,-25,44.98,27.57,33.73,5,12,-7,29.41,1.23,2.95,6.33,10.95,-4.62,36.63,1.56,2.7,14,18,4,3.45,4.43,4.46,91.24,3.38,93.33,4.28,93.92,-0.9,-0.58,95.71,98.19,-2.49
"EVGENI.MALKIN","2017-2018","PIT","C",50,679.88,684,638,46,51.74,60.36,56.3,521,498,23,51.13,45.98,43.95,397,357,40,52.65,35.04,31.51,30,34,-4,46.88,2.65,3,28.42,28.69,-0.27,49.76,2.51,2.53,59,53,-6,5.21,4.68,7.56,90.48,5.76,93.17,5.45,94.24,0.3,-1.07,98.03,99.69,-1.66
"EVGENY.DADONOV","2017-2018","FLA","R",42,601.2,612,531,81,53.54,61.08,52.99,482,399,83,54.71,48.1,39.82,356,294,62,54.77,35.53,29.34,29,26,3,52.73,2.89,2.59,23.8,21.17,2.63,52.92,2.38,2.11,39,44,5,3.89,4.39,8.15,91.16,6.02,93.48,4.94,94.69,1.08,-1.21,99.3,99.63,-0.33
"EVGENY.KUZNETSOV","2017-2018","WSH","C",52,737.07,679,787,-108,46.32,55.27,64.06,499,595,-96,45.61,40.62,48.44,361,400,-39,47.44,29.39,32.56,36,30,6,54.55,2.93,2.44,27.94,35.78,-7.84,43.85,2.27,2.91,55,55,0,4.48,4.48,9.97,92.5,7.21,94.96,5.6,93.99,1.62,0.97,102.47,99.59,2.89
"FILIP.CHLAPIK","2017-2018","OTT","C",10,79.4,66,80,-14,45.21,49.87,60.45,44,56,-12,44,33.25,42.32,29,38,-9,43.28,21.91,28.72,1,3,-2,25,0.76,2.27,1.6,2.91,-1.31,35.48,1.21,2.2,2,4,2,1.51,3.02,3.45,92.11,2.27,94.64,3.64,94.8,-1.36,-0.16,95.55,98.44,-2.89
"FILIP.FORSBERG","2017-2018","NSH","L",39,510.62,532,470,62,53.09,62.51,55.23,405,363,42,52.73,47.59,42.65,282,260,22,52.03,33.14,30.55,27,15,12,64.29,3.17,1.76,20.65,21.36,-0.71,49.15,2.43,2.51,47,38,-9,5.52,4.47,9.57,94.23,6.67,95.87,5.1,94.12,1.57,1.75,103.81,99.21,4.59
"FRANCOIS.BEAUCHEMIN","2017-2018","ANA","D",45,675.85,652,735,-83,47.01,57.88,65.25,496,528,-32,48.44,44.03,46.87,343,345,-2,49.85,30.45,30.63,30,24,6,55.56,2.66,2.13,24.76,30.06,-5.3,45.17,2.2,2.67,49,35,-14,4.35,3.11,8.75,93.04,6.05,95.45,4.99,94.31,1.06,1.15,101.79,99.3,2.49
"FRANK.CORRADO","2017-2018","PIT","D",5,57.5,48,50,-2,48.98,50.09,52.17,39,31,8,55.71,40.7,32.35,28,18,10,60.87,29.22,18.78,0,1,-1,0,0,1.04,2.23,1.39,0.84,61.6,2.33,1.45,8,3,-5,8.35,3.13,0,94.44,0,96.77,5.72,95.52,-5.72,1.26,94.44,101.23,-6.79
"FRANK.VATRANO","2017-2018","BOS","C",24,213.65,211,161,50,56.72,59.26,45.21,167,128,39,56.61,46.9,35.95,109,87,22,55.61,30.61,24.43,5,7,-2,41.67,1.4,1.97,7.72,6.59,1.13,53.95,2.17,1.85,16,18,2,4.49,5.05,4.59,91.95,2.99,94.53,4.62,94.85,-1.63,-0.32,96.54,99.47,-2.93
"FRANS.NIELSEN","2017-2018","DET","C",50,626.18,514,580,-66,46.98,49.25,55.58,396,446,-50,47.03,37.94,42.74,275,340,-65,44.72,26.35,32.58,20,25,-5,44.44,1.92,2.4,20.35,23.16,-2.81,46.77,1.95,2.22,37,35,-2,3.55,3.35,7.27,92.65,5.05,94.39,5.14,94.81,-0.09,-0.41,99.92,99.95,-0.03
"FREDDIE.HAMILTON","2017-2018","CGY","C",8,57.88,44,62,-18,41.51,45.61,64.27,36,45,-9,44.44,37.32,46.65,25,30,-5,45.45,25.92,31.1,0,2,-2,0,0,2.07,1.08,2.16,-1.08,33.33,1.12,2.24,7,7,0,7.26,7.26,0,93.33,0,95.56,3,95.2,-3,0.36,93.33,98.2,-4.87
"FREDERICK.GAUDREAU","2017-2018","NSH","C",20,175.17,154,172,-18,47.24,52.75,58.91,107,133,-26,44.58,36.65,45.56,76,100,-24,43.18,26.03,34.25,7,7,0,50,2.4,2.4,4.94,8.52,-3.58,36.7,1.69,2.92,11,15,4,3.77,5.14,9.21,93,6.54,94.74,4.62,93.59,1.93,1.14,102.21,98.21,4
"FREDERIK.GAUTHIER","2017-2018","TOR","C",9,65.73,50,81,-31,38.17,45.64,73.94,36,66,-30,35.29,32.86,60.25,29,49,-20,37.18,26.47,44.73,1,6,-5,14.29,0.91,5.48,1.89,4.2,-2.31,31.03,1.73,3.83,3,4,1,2.74,3.65,3.45,87.76,2.78,90.91,5.25,93.64,-2.47,-2.73,91.2,98.89,-7.68
"FREDRIK.CLAESSON","2017-2018","OTT","D",38,524,444,510,-66,46.54,50.84,58.4,330,352,-22,48.39,37.79,40.31,234,253,-19,48.05,26.79,28.97,13,18,-5,41.94,1.49,2.06,16.46,17.84,-1.38,47.99,1.88,2.04,27,38,11,3.09,4.35,5.56,92.89,3.94,94.89,4.99,94.93,-1.05,-0.05,98.44,99.92,-1.48
"GABRIEL.BOURQUE","2017-2018","COL","L",27,258.43,196,276,-80,41.53,45.51,64.08,142,203,-61,41.16,32.97,47.13,108,146,-38,42.52,25.07,33.9,4,5,-1,44.44,0.93,1.16,6.57,9.02,-2.45,42.14,1.53,2.09,15,12,-3,3.48,2.79,3.7,96.58,2.82,97.54,4.63,95.56,-1.81,1.98,100.28,100.18,0.1
"GABRIEL.CARLSSON","2017-2018","CBJ","D",14,154.53,155,168,-13,47.99,60.18,65.23,115,124,-9,48.12,44.65,48.15,89,87,2,50.57,34.56,33.78,4,4,0,50,1.55,1.55,8.6,7.23,1.37,54.33,3.34,2.81,7,7,0,2.72,2.72,4.49,95.4,3.48,96.77,7.48,94.17,-4,2.6,99.9,101.65,-1.75
"GABRIEL.DUMONT","2017-2018","T.B/OTT","C",28,224.33,179,223,-44,44.53,47.88,59.64,129,166,-37,43.73,34.5,44.4,86,118,-32,42.16,23,31.56,4,5,-1,44.44,1.07,1.34,6.34,7.63,-1.29,45.38,1.7,2.04,19,15,-4,5.08,4.01,4.65,95.76,3.1,96.99,4.91,95.4,-1.81,1.58,100.41,100.32,0.1
"GABRIEL.LANDESKOG","2017-2018","COL","L",47,662.4,639,662,-23,49.12,57.88,59.96,479,477,2,50.1,43.39,43.21,351,339,12,50.87,31.79,30.71,37,22,15,62.71,3.35,1.99,24.02,24.16,-0.14,49.85,2.18,2.19,53,51,-2,4.8,4.62,10.54,93.51,7.72,95.39,5.01,94.94,2.71,0.45,104.05,99.95,4.1
"GARNET.HATHAWAY","2017-2018","CGY","R",29,318.27,338,298,40,53.14,63.72,56.18,248,218,30,53.22,46.75,41.1,169,154,15,52.32,31.86,29.03,16,9,7,64,3.02,1.7,14.5,11.95,2.55,54.82,2.73,2.25,28,29,1,5.28,5.47,9.47,94.16,6.45,95.87,5.85,94.52,0.6,1.35,103.62,100.37,3.26
"GEMEL.SMITH","2017-2018","DAL","C",31,289.47,260,230,30,53.06,53.89,47.67,192,158,34,54.86,39.8,32.75,148,108,40,57.81,30.68,22.39,12,6,6,66.67,2.49,1.24,11.49,8.41,3.08,57.74,2.38,1.74,18,20,2,3.73,4.15,8.11,94.44,6.25,96.2,5.98,94.68,0.27,1.53,102.55,100.66,1.89
"GREG.MCKEGG","2017-2018","PIT","C",26,215.2,180,204,-24,46.88,50.19,56.88,134,142,-8,48.55,37.36,39.59,100,101,-1,49.75,27.88,28.16,6,10,-4,37.5,1.67,2.79,7.79,7.23,0.56,51.86,2.17,2.02,16,25,9,4.46,6.97,6,90.1,4.48,92.96,5.81,94.91,-1.34,-1.95,96.1,100.72,-4.62
"GREG.PATERYN","2017-2018","DAL","D",45,753.9,666,666,0,50,53,53,476,466,10,50.53,37.88,37.09,335,344,-9,49.34,26.66,27.38,27,26,1,50.94,2.15,2.07,24.81,22.45,2.36,52.5,1.97,1.79,62,53,-9,4.93,4.22,8.06,92.44,5.67,94.42,5.21,95.18,0.46,-0.76,100.5,100.39,0.11
"GUSTAV.FORSLING","2017-2018","CHI","D",41,604.6,582,607,-25,48.95,57.76,60.24,403,478,-75,45.74,39.99,47.44,314,353,-39,47.08,31.16,35.03,25,32,-7,43.86,2.48,3.18,23.61,29.4,-5.79,44.54,2.34,2.92,29,50,21,2.88,4.96,7.96,90.93,6.2,93.31,5.86,93.85,0.34,-0.54,98.9,99.71,-0.81
"GUSTAV.NYQUIST","2017-2018","DET","C",50,735.17,642,682,-40,48.49,52.4,55.66,488,534,-46,47.75,39.83,43.58,353,382,-29,48.03,28.81,31.18,27,25,2,51.92,2.2,2.04,26.92,28.12,-1.2,48.91,2.2,2.29,41,36,-5,3.35,2.94,7.65,93.46,5.53,95.32,5.52,94.73,0.02,0.58,101.1,100.25,0.85
"GUSTAV.OLOFSSON","2017-2018","MIN","D",28,317.42,256,285,-29,47.32,48.39,53.87,189,205,-16,47.97,35.73,38.75,137,138,-1,49.82,25.9,26.09,11,12,-1,47.83,2.08,2.27,12.41,10.15,2.26,55.01,2.35,1.92,29,22,-7,5.48,4.16,8.03,91.3,5.82,94.15,6.57,95.05,-0.75,-0.9,99.33,101.61,-2.28
"HAMPUS.LINDHOLM","2017-2018","ANA","D",41,698.48,694,587,107,54.18,59.62,50.42,529,437,92,54.76,45.44,37.54,377,312,65,54.72,32.38,26.8,34,27,7,55.74,2.92,2.32,30.53,25.72,4.81,54.28,2.62,2.21,56,41,-15,4.81,3.52,9.02,91.35,6.43,93.82,5.77,94.11,0.66,-0.29,100.36,99.89,0.48
"HAYDN.FLEURY","2017-2018","CAR","D",43,664.23,657,670,-13,49.51,59.35,60.52,464,507,-43,47.79,41.91,45.8,320,355,-35,47.41,28.91,32.07,17,20,-3,45.95,1.54,1.81,24.68,28.59,-3.91,46.33,2.23,2.58,32,36,4,2.89,3.25,5.31,94.37,3.66,96.06,5.32,94.36,-1.66,1.69,99.68,99.68,0
"HENRIK.HAAPALA","2017-2018","FLA","L",5,59.52,54,73,-19,42.52,54.44,73.59,42,56,-14,42.86,42.34,56.45,32,45,-13,41.56,32.26,45.36,1,1,0,50,1.01,1.01,1.91,2.9,-0.99,39.71,1.93,2.92,2,3,1,2.02,3.02,3.12,97.78,2.38,98.21,4.55,94.82,-2.17,3.39,100.9,99.37,1.53
"HENRIK.SEDIN","2017-2018","VAN","C",51,595.77,563,503,60,52.81,56.7,50.66,427,389,38,52.33,43,39.18,323,287,36,52.95,32.53,28.9,22,27,-5,44.9,2.22,2.72,23.5,21.99,1.51,51.66,2.37,2.21,32,35,3,3.22,3.52,6.81,90.59,5.15,93.06,5.5,94.35,-0.35,-1.29,97.4,99.85,-2.45
"HENRIK.ZETTERBERG","2017-2018","DET","C",50,805.12,703,757,-54,48.15,52.39,56.41,538,582,-44,48.04,40.09,43.37,393,419,-26,48.4,29.29,31.23,33,27,6,55,2.46,2.01,29.02,30.31,-1.29,48.91,2.16,2.26,45,43,-2,3.35,3.2,8.4,93.56,6.13,95.36,5.39,94.79,0.74,0.57,101.95,100.19,1.77
"IAN.COLE","2017-2018","PIT","D",40,583.7,547,537,10,50.46,56.23,55.2,411,385,26,51.63,42.25,39.58,312,282,30,52.53,32.07,28.99,23,29,-6,44.23,2.36,2.98,21.52,25.04,-3.52,46.22,2.21,2.57,52,53,1,5.35,5.45,7.37,89.72,5.6,92.47,5.24,93.5,0.36,-1.03,97.09,98.73,-1.64
"IAN.MCCOSHEN","2017-2018","FLA","D",29,406.17,356,395,-39,47.4,52.59,58.35,278,286,-8,49.29,41.07,42.25,199,215,-16,48.07,29.4,31.76,11,21,-10,34.38,1.62,3.1,15.67,13.77,1.9,53.23,2.31,2.03,34,34,0,5.02,5.02,5.53,90.23,3.96,92.66,5.64,95.19,-1.68,-2.53,95.76,100.82,-5.06
"IIRO.PAKARINEN","2017-2018","EDM","R",21,174.98,145,164,-19,46.93,49.72,56.23,112,122,-10,47.86,38.4,41.83,76,88,-12,46.34,26.06,30.17,3,3,0,50,1.03,1.03,5.78,6.86,-1.08,45.73,1.98,2.35,14,8,-6,4.8,2.74,3.95,96.59,2.68,97.54,5.16,94.38,-2.48,3.16,100.54,99.54,1
"IVAN.BARBASHEV","2017-2018","STL","C",25,302.43,285,279,6,50.53,56.54,55.35,219,191,28,53.41,43.45,37.89,158,134,24,54.11,31.35,26.58,9,8,1,52.94,1.79,1.59,9.97,9.02,0.95,52.5,1.98,1.79,16,15,-1,3.17,2.98,5.7,94.03,4.11,95.81,4.55,95.28,-0.44,0.53,99.73,99.83,-0.1
"IVAN.PROVOROV","2017-2018","PHI","D",52,943.32,851,858,-7,49.8,54.13,54.57,638,624,14,50.55,40.58,39.69,464,443,21,51.16,29.51,28.18,35,32,3,52.24,2.23,2.04,36.96,34.76,2.2,51.53,2.35,2.21,41,53,12,2.61,3.37,7.54,92.78,5.49,94.87,5.79,94.43,-0.31,0.44,100.32,100.22,0.1
"JACCOB.SLAVIN","2017-2018","CAR","D",53,972.17,975,839,136,53.75,60.17,51.78,718,633,85,53.15,44.31,39.07,524,442,82,54.24,32.34,27.28,29,45,-16,39.19,1.79,2.78,40.15,34.79,5.36,53.58,2.48,2.15,43,48,5,2.65,2.96,5.53,89.82,4.04,92.89,5.59,94.5,-1.55,-1.61,95.35,100.1,-4.74
"JACK.EICHEL","2017-2018","BUF","C",52,762.3,701,745,-44,48.48,55.18,58.64,551,583,-32,48.59,43.37,45.89,404,427,-23,48.62,31.8,33.61,31,36,-5,46.27,2.44,2.83,29.68,33.24,-3.56,47.17,2.34,2.62,48,51,3,3.78,4.01,7.67,91.57,5.63,93.83,5.39,94.3,0.24,-0.47,99.24,99.69,-0.44
"JACK.JOHNSON","2017-2018","CBJ","D",52,856.98,762,876,-114,46.52,53.35,61.33,587,637,-50,47.96,41.1,44.6,424,478,-54,47.01,29.69,33.47,31,39,-8,44.29,2.17,2.73,34.26,37.04,-2.78,48.05,2.4,2.59,51,46,-5,3.57,3.22,7.31,91.84,5.28,93.88,5.84,94.19,-0.56,-0.31,99.15,100.02,-0.87
"JACK.ROSLOVIC","2017-2018","WPG","C",11,110.92,107,94,13,53.23,57.88,50.85,85,67,18,55.92,45.98,36.24,58,46,12,55.77,31.37,24.88,3,6,-3,33.33,1.62,3.25,4.72,3.95,0.77,54.44,2.55,2.14,4,5,1,2.16,2.7,5.17,86.96,3.53,91.04,5.55,94.1,-2.02,-3.06,92.13,99.66,-7.53
"JACOB.DE LA ROSE","2017-2018","MTL","L",32,281.8,224,273,-49,45.07,47.69,58.13,160,187,-27,46.11,34.07,39.82,121,143,-22,45.83,25.76,30.45,6,11,-5,35.29,1.28,2.34,9.69,10.2,-0.51,48.72,2.06,2.17,28,16,-12,5.96,3.41,4.96,92.31,3.75,94.12,6.06,94.55,-2.31,-0.43,97.27,100.6,-3.34
"JACOB.JOSEFSON","2017-2018","BUF","C",21,193.58,127,203,-76,38.48,39.36,62.92,94,144,-50,39.5,29.14,44.63,73,108,-35,40.33,22.63,33.47,5,3,2,62.5,1.55,0.93,4.2,7.07,-2.87,37.27,1.3,2.19,9,12,3,2.79,3.72,6.85,97.22,5.32,97.92,4.47,95.09,0.85,2.83,104.07,99.56,4.51
"JACOB.TROUBA","2017-2018","WPG","D",50,858.38,879,844,35,51.02,61.44,58.99,652,603,49,51.95,45.57,42.15,485,447,38,52.04,33.9,31.24,44,38,6,53.66,3.08,2.66,35.36,30.58,4.78,53.62,2.47,2.14,59,58,-1,4.12,4.05,9.07,91.5,6.75,93.7,5.42,94.93,1.33,-1.23,100.57,100.35,0.22
"JADEN.SCHWARTZ","2017-2018","STL","C",34,477.43,529,415,114,56.04,66.48,52.15,401,299,102,57.29,50.39,37.58,287,225,62,56.05,36.07,28.28,30,8,22,78.95,3.77,1.01,22.12,16.47,5.65,57.32,2.78,2.07,25,33,8,3.14,4.15,10.45,96.44,7.48,97.32,5.52,94.49,1.97,2.83,106.9,100.01,6.89
"JAKE.DEBRUSK","2017-2018","BOS","L",46,564.87,561,499,62,52.92,59.59,53,418,377,41,52.58,44.4,40.04,299,271,28,52.46,31.76,28.79,31,20,11,60.78,3.29,2.12,21.2,21.06,0.14,50.17,2.25,2.24,28,28,0,2.97,2.97,10.37,92.62,7.42,94.69,5.07,94.41,2.34,0.28,102.99,99.49,3.5
"JAKE.DOTCHIN","2017-2018","T.B","D",42,648.68,644,602,42,51.69,59.57,55.68,483,448,35,51.88,44.68,41.44,341,343,-2,49.85,31.54,31.73,34,23,11,59.65,3.14,2.13,26.01,22.46,3.55,53.66,2.41,2.08,50,46,-4,4.62,4.25,9.97,93.29,7.04,94.87,5.39,94.99,1.65,-0.12,103.27,100.37,2.89
"JAKE.GARDINER","2017-2018","TOR","D",55,1037.85,985,1031,-46,48.86,56.94,59.6,710,789,-79,47.36,41.05,45.61,497,553,-56,47.33,28.73,31.97,48,36,12,57.14,2.77,2.08,45.79,41.32,4.47,52.57,2.65,2.39,59,47,-12,3.41,2.72,9.66,93.49,6.76,95.44,6.45,94.76,0.31,0.67,103.15,101.21,1.94
"JAKE.GUENTZEL","2017-2018","PIT","C",54,721.03,780,701,79,52.67,64.91,58.33,596,534,62,52.74,49.6,44.44,428,389,39,52.39,35.62,32.37,22,36,-14,37.93,1.83,3,31.48,36.11,-4.63,46.57,2.62,3,69,55,-14,5.74,4.58,5.14,90.75,3.69,93.26,5.28,93.24,-1.59,0.02,95.89,98.52,-2.63
"JAKE.MCCABE","2017-2018","BUF","D",52,872.13,728,788,-60,48.02,50.08,54.21,569,602,-33,48.59,39.15,41.42,422,447,-25,48.56,29.03,30.75,29,39,-10,42.65,2,2.68,26.79,33.9,-7.11,44.14,1.84,2.33,53,52,-1,3.65,3.58,6.87,91.28,5.1,93.52,4.71,94.37,0.39,-0.85,98.15,99.08,-0.93
"JAKE.MUZZIN","2017-2018","L.A","D",49,837.7,835,763,72,52.25,59.81,54.65,606,573,33,51.4,43.4,41.04,421,414,7,50.42,30.15,29.65,33,22,11,60,2.36,1.58,31.62,32.68,-1.06,49.18,2.26,2.34,46,42,-4,3.29,3.01,7.84,94.69,5.45,96.16,5.22,94.3,0.23,1.86,102.52,99.51,3.01
"JAKE.VIRTANEN","2017-2018","VAN","R",45,475.85,412,419,-7,49.58,51.95,52.83,314,331,-17,48.68,39.59,41.74,212,235,-23,47.43,26.73,29.63,14,17,-3,45.16,1.77,2.14,16.12,18.12,-2,47.08,2.03,2.28,37,23,-14,4.67,2.9,6.6,92.77,4.46,94.86,5.13,94.53,-0.68,0.34,99.37,99.66,-0.29
"JAKOB.CHYCHRUN","2017-2018","ARI","D",22,414.68,389,438,-49,47.04,56.28,63.37,301,341,-40,46.88,43.55,49.34,206,223,-17,48.02,29.81,32.27,13,19,-6,40.62,1.88,2.75,16.06,18.26,-2.2,46.79,2.32,2.64,19,23,4,2.75,3.33,6.31,91.48,4.32,94.43,5.34,94.65,-1.02,-0.22,97.79,99.98,-2.19
"JAKOB.SILFVERBERG","2017-2018","ANA","R",49,650.77,651,651,0,50,60.02,60.02,481,478,3,50.16,44.35,44.07,333,345,-12,49.12,30.7,31.81,21,21,0,50,1.94,1.94,26.15,26.9,-0.75,49.29,2.41,2.48,42,27,-15,3.87,2.49,6.31,93.91,4.37,95.61,5.44,94.37,-1.07,1.23,100.22,99.81,0.41
"JAKUB.JERABEK","2017-2018","MTL","D",25,407.95,408,399,9,50.56,60.01,58.68,291,288,3,50.26,42.8,42.36,207,224,-17,48.03,30.44,32.95,12,15,-3,44.44,1.76,2.21,17.46,14.51,2.95,54.61,2.57,2.13,30,22,-8,4.41,3.24,5.8,93.3,4.12,94.79,6,94.96,-1.88,-0.17,99.1,100.96,-1.86
"JAKUB.VORACEK","2017-2018","PHI","R",52,763.18,696,688,8,50.29,54.72,54.09,527,528,-1,49.95,41.43,41.51,392,391,1,50.06,30.82,30.74,39,22,17,63.93,3.07,1.73,28.78,27.97,0.81,50.71,2.26,2.2,51,59,8,4.01,4.64,9.95,94.37,7.4,95.83,5.46,94.7,1.94,1.13,104.32,100.16,4.16
"JAKUB.VRANA","2017-2018","WSH","L",49,595.1,582,566,16,50.7,58.68,57.07,419,418,1,50.06,42.25,42.14,309,281,28,52.37,31.15,28.33,23,21,2,52.27,2.32,2.12,22.58,23.57,-0.99,48.93,2.28,2.38,42,42,0,4.23,4.23,7.44,92.53,5.49,94.98,5.39,94.36,0.1,0.61,99.97,99.75,0.22
"JAMES.NEAL","2017-2018","VGK","L",52,718.5,693,677,16,50.58,57.87,56.53,508,507,1,50.05,42.42,42.34,365,369,-4,49.73,30.48,30.81,34,36,-2,48.57,2.84,3.01,24.88,27.36,-2.48,47.63,2.08,2.28,34,56,22,2.84,4.68,9.32,90.24,6.69,92.9,4.9,94.6,1.8,-1.7,99.56,99.5,0.06
