"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Mathieu Perreault","WPG","C","42","476.08333333333","578.69","386.72","59.94","431.42","288.09","59.96","310.22","215.83","58.97","24.87","17.93","58.11","271.16","171.25","61.29","102.9","62.75","62.12","13.01","8.94","59.28","8.02","91.69","0.997","167","150","162","50.76"
"","Rasmus Andersson","CGY","D","1","13.933333333333","18.39","12.66","59.22","14.85","11.13","57.16","9.54","10.22","48.28","1.96","0","100.00","12.43","5.63","68.82","6.15","3.87","61.36","1.95","0","100.00","20.57","100.00","1.206","5","4","2","71.43"
"","Patrice Bergeron","BOS","C","47","627.21666666667","721.27","499.82","59.07","515.1","379.75","57.56","368.59","287.19","56.21","36.31","10.89","76.93","376.17","246.32","60.43","119.84","110.91","51.94","14.14","7","66.88","9.85","96.21","1.061","303","246","194","60.97"
"","Matt Grzelcyk","BOS","D","34","474.38333333333","496.5","346.09","58.93","384.18","257.36","59.88","298.74","183.07","62.00","28.16","7.96","77.96","244.96","159","60.64","78.7","58.4","57.40","16.84","2","89.39","9.42","95.65","1.051","179","220","116","60.68"
"","John Quenneville","N.J","C","1","13.85","13.58","9.57","58.66","10.95","7.47","59.45","7.29","3.09","70.23","0","0","0.00","4.45","4.35","50.55","0.87","2.13","28.93","0","0","0.00","0.00","100.00","1.000","4","5","8","33.33"
"","Cody Franson","CHI","D","23","318.15","371.91","263.83","58.50","285.79","201.44","58.66","207.5","142.77","59.24","10.01","8.93","52.84","179.18","136.92","56.68","65.51","60.39","52.03","3.07","5.95","34.05","4.82","93.75","0.986","149","107","82","64.50"
"","Brett Ritchie","DAL","R","46","414.06666666667","432.3","306.62","58.50","311.41","228.45","57.68","230.89","165.53","58.24","16.36","8.5","65.81","198.71","155.6","56.08","79.24","52.99","59.93","9.28","3.69","71.53","7.09","94.86","1.020","109","153","126","46.38"
"","Justin Kloos","MIN","C","1","8.55","8.71","6.19","58.43","5.8","5.17","52.87","2.91","4.12","41.40","0","0","0.00","5.69","1.05","84.41","2.8","0","100.00","0","0","0.00","0.00","100.00","1.000","2","1","1","66.67"
"","Brad Malone","EDM","C","7","48.333333333333","46.14","32.96","58.33","32.68","23.86","57.79","23.89","15.86","60.10","0","0","0.00","21.76","13.6","61.54","9.09","2.8","76.47","0","0","0.00","0.00","100.00","1.000","12","18","17","41.38"
"","Brad Marchand","BOS","L","39","529.55","600.78","429.73","58.30","425.97","327.74","56.52","309.74","242.3","56.11","36.28","8.88","80.34","314.58","228.47","57.93","106.77","94.75","52.98","14.12","5.93","70.43","11.71","96.34","1.080","247","197","178","58.12"
"","Trevor Carrick","CAR","D","1","6.2333333333333","6.87","4.96","58.06","5.63","4.21","57.22","2.25","4.22","34.74","0","0","0.00","3.43","2.51","57.80","1.13","0.8","58.53","0","0","0.00","0.00","100.00","1.000","3","4","1","75.00"
"","Ryan Lomberg","CGY","L","2","15.083333333333","16.37","11.82","58.06","12.04","7.3","62.27","9.73","6.37","60.41","0","0.95","0.00","12.27","5.34","69.68","6.71","1.74","79.42","0","0","0.00","0.00","85.07","0.851","3","3","7","30.00"
"","Samuel Morin","PHI","D","2","26.75","29.89","21.59","58.05","25.04","14.09","63.99","17.94","11.32","61.32","1.88","1.06","63.85","17.73","12.02","59.59","5.07","6.51","43.76","0","1.07","0.00","10.45","90.62","1.011","10","7","7","58.82"
"","Brandon Saad","CHI","L","54","660.51666666667","836.58","604.78","58.04","572.8","467.79","55.05","409.65","351.74","53.80","29.39","26.13","52.94","400.81","316.32","55.89","143.31","136.36","51.24","15.29","18.9","44.73","7.18","92.57","0.997","287","303","185","60.81"
"","Adam Lowry","WPG","C","35","417.88333333333","427.91","314.77","57.62","322.33","214.85","60.00","228.18","145.93","60.99","16.04","12.79","55.64","207.69","145.69","58.77","92.78","45.57","67.06","10.79","2.93","78.66","7.03","91.24","0.983","111","181","167","39.93"
"","Artemi Panarin","CBJ","L","53","843.15","977.11","722.99","57.47","747.91","534.78","58.31","534.62","417.58","56.15","32.42","23.21","58.27","476.37","398.03","54.48","175","148.03","54.17","18.37","15.19","54.75","6.06","94.44","1.005","343","300","186","64.84"
"","Michael Frolik","CGY","R","42","570.73333333333","685.01","512.74","57.19","511.03","396.63","56.30","353.49","285.05","55.36","18.92","24.02","44.06","325.46","250.84","56.47","112.74","88.84","55.93","9.74","14.93","39.48","5.35","91.57","0.969","170","193","209","44.85"
"","Mark Giordano","CGY","D","54","919.91666666667","1093.55","818.91","57.18","816.34","631.98","56.36","560.59","449.27","55.51","39.12","31.98","55.02","521.47","374.13","58.23","205.81","125.57","62.11","15.05","17.81","45.79","6.98","92.88","0.999","357","322","332","51.81"
"","Julius Honka","DAL","D","29","328.68333333333","358.81","269.04","57.15","262.56","189.37","58.10","196.26","130.8","60.01","12.26","6.94","63.86","178.1","118.92","59.96","70.92","46.43","60.43","5.93","4.9","54.75","6.25","94.70","1.009","108","106","91","54.27"
"","Matthew Tkachuk","CGY","L","52","695.41666666667","825.13","620.7","57.07","613.08","481.05","56.03","423.66","336.96","55.70","25.98","30.38","46.09","370.7","295.21","55.67","121.54","104.81","53.70","14.85","15.37","49.13","6.13","90.98","0.971","219","252","274","44.42"
"","Jonathan Toews","CHI","C","54","720.18333333333","919.54","693.57","57.00","627.41","535.95","53.93","471.1","396.13","54.32","38.73","28.27","57.80","464.16","360.27","56.30","167.45","149.51","52.83","20.43","18.03","53.12","8.22","92.86","1.011","300","317","233","56.29"
"","Dougie Hamilton","CGY","D","54","929.78333333333","1116.59","843.37","56.97","829.58","657.42","55.79","577.06","464.63","55.40","43.74","33","57.00","519.73","385.75","57.40","213.44","132.4","61.72","18.56","16.74","52.58","7.58","92.90","1.005","350","321","326","51.78"
"","Jussi Jokinen","EDM","L","14","140.28333333333","158.88","120.65","56.84","115.45","74.01","60.94","82.51","50.68","61.95","0.98","3.96","19.88","74.16","47.94","60.74","22.67","10","69.39","0.98","0.93","51.45","1.19","92.19","0.934","53","48","45","54.08"
"","Jaden Schwartz","STL","L","36","490.58333333333","560.42","426.43","56.79","425.93","305.78","58.21","307.72","229.5","57.28","32.11","8.89","78.32","321.47","223.74","58.96","97.12","82.94","53.94","18.91","6.87","73.35","10.43","96.13","1.066","207","183","112","64.89"
"","Kailer Yamamoto","EDM","R","9","114.38333333333","142.82","108.66","56.79","95.59","71.43","57.23","71.47","58.41","55.03","2.04","4.13","33.01","71.68","53.06","57.46","34.32","18.06","65.52","1.02","1.1","47.96","2.85","92.92","0.958","44","40","29","60.27"
"","Tomas Jurco","CHI","L","7","68.5","83.32","63.43","56.78","61.65","39.01","61.25","43.45","24.83","63.63","1.06","0","100.00","43.06","31.9","57.45","14.61","10.07","59.20","0","0","0.00","2.44","100.00","1.024","24","24","24","50.00"
"","David Backes","BOS","R","35","469","502.35","382.65","56.76","374.02","270.77","58.01","272.39","192.97","58.53","15.97","16.84","48.67","247.33","180.76","57.78","74.81","57.31","56.62","6.9","12.88","34.88","5.86","91.27","0.971","151","148","156","49.19"
"","Pierre-Luc Dubois","CBJ","C","53","703.68333333333","801.2","610.86","56.74","615.71","446.05","57.99","453.38","346.34","56.69","27.53","25.12","52.29","410.16","326.99","55.64","162.09","118.92","57.68","16.1","15.02","51.75","6.07","92.75","0.988","297","273","156","65.56"
