"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"","Maxim Mamin","FLA","C","5","48.016666666667","46.77","48.66","49.01","35.32","31.41","52.92","23.81","22.92","50.95","0","1.02","0.00","14.58","17.99","44.76","7.46","4.61","61.84","0","1.02","0.00","0.00","95.56","0.956","13","9","11","54.17"
"","Derick Brassard","OTT","C","51","701.15","696.91","725.38","49.00","505.14","536.39","48.50","379.56","377.64","50.13","37.16","37.83","49.55","339.62","357.68","48.71","132.26","134.95","49.50","20.7","24.99","45.31","9.79","89.98","0.998","259","271","217","54.41"
"","Gustav Forsling","CHI","D","41","583.83333333333","578.88","602.68","48.99","398.26","474.67","45.62","311.96","351.12","47.05","25.01","31.83","44.00","295.43","297.74","49.81","107.99","134.53","44.53","9.01","12.59","41.71","8.02","90.93","0.990","217","191","203","51.67"
"","Luke Kunin","MIN","C","17","198.45","168.68","175.64","48.99","127.51","136.24","48.35","94.37","110.26","46.12","2.95","3.8","43.72","73.79","76.08","49.24","21.16","33.67","38.59","1.9","1.85","50.69","3.13","96.55","0.997","63","76","74","45.99"
"","Justin Abdelkader","DET","L","45","552.21666666667","506.69","528.52","48.95","389.83","398.83","49.43","271.38","308.55","46.80","20.67","23.02","47.31","224.73","269.23","45.49","81.92","99.4","45.18","10.92","10.79","50.31","7.62","92.54","1.002","183","211","167","52.29"
"","John Carlson","WSH","D","53","929.86666666667","926.21","966.05","48.95","659.1","750.99","46.74","455.8","509.69","47.21","41.85","38.18","52.29","489.25","518.29","48.56","177.29","211.48","45.60","23.11","26.75","46.35","9.18","92.51","1.017","307","364","316","49.28"
"","Victor Mete","MTL","D","39","509.23333333333","492.06","513.48","48.93","363.57","353.27","50.72","275.24","254.17","51.99","26.8","22.43","54.44","253.71","242.67","51.11","118.28","77.6","60.38","16.81","12.34","57.68","9.74","91.18","1.009","157","194","122","56.27"
"","Jori Lehtera","PHI","C","36","307.9","257.81","269.22","48.92","182.92","205.83","47.05","137.32","144.47","48.73","5.76","11.12","34.13","101.29","126.4","44.49","39.55","53.25","42.62","0.92","8.18","10.13","4.20","92.30","0.965","89","94","96","48.11"
"","Calvin de Haan","NYI","D","33","508.75","470.21","490.92","48.92","345.85","362.03","48.86","240.39","265.39","47.53","26.55","22.83","53.77","262.89","268.9","49.43","113.91","103.78","52.33","16.62","12.84","56.40","11.04","91.40","1.024","129","189","158","44.95"
"","Connor Brown","TOR","R","56","611.08333333333","576.74","602.23","48.92","431.64","453.39","48.77","305.37","318.36","48.96","29.13","32.71","47.10","286.27","308.95","48.09","126.58","112.72","52.90","15.27","15.9","49.00","9.54","89.72","0.993","193","236","199","49.23"
"","Troy Brouwer","CGY","R","54","545.81666666667","545.49","570.22","48.89","404.61","422.85","48.90","274.09","281.49","49.33","14.79","17.76","45.43","226.91","265","46.13","81.4","84.94","48.93","9.05","9.79","48.04","5.39","93.69","0.991","138","207","210","39.66"
"","Joel Ward","S.J","R","46","465.71666666667","408.98","428.31","48.85","292.2","310.54","48.48","210.6","217.4","49.21","11.96","16.96","41.36","191.55","215.98","47.00","78.2","94.86","45.19","7.75","11.07","41.18","5.68","92.20","0.979","138","159","127","52.08"
"","Brendan Guhle","BUF","D","2","30.916666666667","30.76","32.21","48.85","25.86","29.05","47.09","20.48","22.56","47.59","1.92","1.05","64.68","14.03","13.6","50.78","5.45","6.45","45.79","1.91","1.08","63.88","9.37","95.35","1.047","17","11","7","70.83"
"","Rob O'Gara","BOS","D","8","79.25","74","77.58","48.82","55.96","54.15","50.82","41.45","43.67","48.70","3.03","8.08","27.30","32.89","38.35","46.17","14.89","17.15","46.48","3.02","5.94","33.74","7.32","81.50","0.888","17","38","17","50.00"
"","Erik Johnson","COL","D","51","960.4","886.68","930.21","48.80","653.63","689.75","48.66","489.08","502.17","49.34","43.51","41.73","51.05","431.32","415.7","50.92","156.23","145.99","51.69","22.68","23.98","48.60","8.90","91.69","1.006","332","425","384","46.37"
"","Marcus Johansson","N.J","L","29","341.18333333333","310.39","325.67","48.80","237.43","249.04","48.81","186.15","185.2","50.13","12.33","20.28","37.82","159.58","175.36","47.64","61.74","66.15","48.27","9.29","9.95","48.27","6.63","89.05","0.957","116","111","110","51.33"
"","Haydn Fleury","CAR","D","43","645.25","640.36","672","48.79","453.56","509.08","47.12","313.94","354.64","46.96","17.02","20.54","45.31","291.96","320.04","47.71","96.13","128.1","42.87","6.01","8.62","41.08","5.42","94.21","0.996","231","216","155","59.84"
"","Jamie Oleksiak","PIT","D","20","293.95","267.18","280.54","48.78","213.4","213.05","50.04","163.15","143.57","53.19","14.58","11.42","56.09","146.07","128.72","53.16","52.49","64.13","45.01","6.77","9.38","41.91","8.94","92.05","1.010","73","81","106","40.78"
"","Evander Kane","BUF","L","54","790.46666666667","745.94","783.81","48.76","594.41","607.13","49.47","457.17","447.99","50.51","26.24","33.17","44.16","337.91","368.68","47.82","142.18","144.8","49.54","16.67","24.31","40.68","5.74","92.60","0.983","318","288","228","58.24"
"","Loui Eriksson","VAN","L","42","492.05","450.72","473.9","48.75","335.07","369.51","47.56","247.71","284.83","46.51","15.97","22.16","41.88","208.21","250.45","45.39","89.24","89.79","49.84","7.91","12.13","39.46","6.45","92.22","0.987","165","166","150","52.38"
"","Alex Biega","VAN","D","26","355.46666666667","338.5","355.89","48.75","259.19","272.69","48.73","195.22","196.82","49.80","8.06","11.11","42.05","166.88","174.87","48.83","76.52","68.55","52.74","6.08","4.19","59.19","4.13","94.35","0.985","122","127","107","53.28"
"","Blake Wheeler","WPG","R","54","770.03333333333","737.01","775.04","48.74","555.93","571.75","49.30","421.19","421.62","49.97","39.02","32.17","54.81","358.2","373.83","48.93","144.02","126.2","53.30","22.9","16.89","57.55","9.26","92.37","1.016","292","281","228","56.15"
"","Ryan Murphy","MIN","D","9","138.33333333333","110.57","116.3","48.74","91.37","80.2","53.26","64.66","52.9","55.00","7.97","2.88","73.47","52.41","49","51.68","18.5","19.65","48.50","7.08","0","100.00","12.33","94.56","1.069","43","36","35","55.13"
"","Nathan Walker","WSH","L","7","57.716666666667","40.89","43","48.74","28.27","37.29","43.12","17.19","25.31","40.45","2.94","1.9","60.69","17.29","23.56","42.32","3.13","10.02","23.81","0","0.97","0.00","17.09","92.48","1.096","15","20","20","42.86"
"","Martin Hanzal","DAL","C","35","356.13333333333","301.79","317.55","48.73","219.55","219.34","50.02","151.23","159.36","48.69","7.96","16.47","32.59","144.29","148.3","49.32","61.31","56.1","52.22","4.84","7.54","39.10","5.27","89.66","0.949","86","123","177","32.70"
"","Nick Jensen","DET","D","51","627.4","538.92","566.96","48.73","420.15","439.29","48.89","305.86","329.95","48.11","20.25","27.47","42.44","258.89","271.07","48.85","99.13","97.85","50.32","9.15","19.17","32.32","6.62","91.67","0.983","170","190","179","48.71"
"","John Hayden","CHI","R","39","352.85","328.33","345.49","48.73","238.91","246.76","49.19","173.74","186.72","48.20","10.04","15.03","40.05","157.24","147.39","51.62","56.68","56.62","50.03","7.08","5.97","54.27","5.78","91.95","0.977","102","116","144","41.46"
"","Alexei Emelin","NSH","D","52","789.53333333333","695.35","731.82","48.72","535.49","545.45","49.54","368.44","386.04","48.83","30.45","19.63","60.81","318.8","362.49","46.79","119.27","152.7","43.85","15.77","11.54","57.75","8.26","94.92","1.032","223","293","295","43.05"
"","Marc-Edouard Vlasic","S.J","D","53","884.91666666667","829.97","873.9","48.71","609.87","602.6","50.30","433.15","425.47","50.45","34.47","34.68","49.85","385.2","438.24","46.78","163.07","168.73","49.15","22.53","23.74","48.69","7.96","91.85","0.998","223","372","312","41.68"
"","Cody Eakin","VGK","C","53","632.86666666667","586.49","617.59","48.71","444.43","458.37","49.23","326.94","317.15","50.76","21.06","26.85","43.95","285.3","287.66","49.79","86.55","100.4","46.30","10.96","15.85","40.89","6.44","91.53","0.980","213","235","213","50.00"
"","Rickard Rakell","ANA","C","50","740.2","713.79","751.54","48.71","526.64","571.72","47.95","377.7","406.94","48.14","39.14","37.26","51.24","377.46","391.37","49.10","148.26","137.29","51.92","27.09","27.24","49.86","10.36","90.84","1.012","223","272","201","52.59"
"","Derrick Pouliot","VAN","D","43","641.23333333333","562.29","592.24","48.70","427.33","429.13","49.90","314.75","328.85","48.91","19","32.79","36.69","277.48","312.67","47.02","100.79","115.35","46.63","12.92","19.42","39.95","6.04","90.03","0.961","249","211","171","59.29"
"","Paul Byron","MTL","L","54","662.26666666667","630.86","665.57","48.66","457.07","477.46","48.91","344.62","328.37","51.21","27.67","26.1","51.46","300.17","292.63","50.64","134.59","115.95","53.72","19.89","16.08","55.30","8.03","92.05","1.001","215","272","230","48.31"
"","Josh Leivo","TOR","L","12","100.73333333333","87.92","92.77","48.66","71.39","71.53","49.95","54.21","45.12","54.58","4.02","1.86","68.35","41.68","42.38","49.58","9.88","17.93","35.52","0.98","0.93","51.45","7.41","95.88","1.033","14","37","37","27.45"
"","Sam Bennett","CGY","C","54","611.73333333333","624","658.43","48.66","448.29","485.06","48.03","301.41","347.18","46.47","18.63","23.33","44.41","314.66","295.07","51.61","125.84","110.1","53.34","11.53","12.12","48.75","6.18","93.28","0.995","201","221","163","55.22"
"","Samuel Girard","COL","D","39","536.63333333333","491.77","519.02","48.65","352.4","381.43","48.02","258.49","284.73","47.58","25.69","24.29","51.40","229.69","251.3","47.75","81.72","96.79","45.78","14.98","16.34","47.82","9.94","91.47","1.014","206","173","127","61.86"
"","Calle Jarnkrok","NSH","C","53","640.93333333333","560.83","592.27","48.64","422.56","434.19","49.32","290.08","320.91","47.48","27.11","13.9","66.11","259.7","277.38","48.35","86.5","100.1","46.36","17.95","8.14","68.79","9.35","95.67","1.050","189","253","252","42.86"
"","Bo Horvat","VAN","C","36","470.05","440.17","465.3","48.61","317.53","355.47","47.18","236.42","246","49.01","27.69","17.03","61.91","223.87","247.95","47.45","87.24","74.08","54.08","15.73","9.01","63.59","11.71","93.08","1.048","195","169","192","50.39"
"","Derek Stepan","ARI","C","54","787.53333333333","761.23","805.13","48.60","558.78","634.67","46.82","374.11","433.6","46.32","28.67","35.83","44.45","352.08","390.75","47.40","133.56","162.56","45.10","11.68","21.98","34.69","7.66","91.74","0.994","269","288","277","49.27"
"","Anthony Beauvillier","NYI","C","44","516.13333333333","536.38","567.28","48.60","394.89","441.14","47.23","295.31","331.75","47.09","27.35","30.84","47.00","283.24","311.85","47.60","109.8","119.58","47.87","11.97","19.91","37.55","9.26","90.70","1.000","145","180","146","49.83"
"","Jamie Oleksiak","DAL","D","21","263.3","251.01","265.8","48.57","182.38","197.09","48.06","131.98","144.67","47.71","6.93","11.77","37.04","115.23","145.08","44.27","55.96","54.41","50.70","4.09","4.78","46.06","5.25","91.86","0.971","86","96","85","50.29"
"","Ron Hainsey","TOR","D","54","913.55","874.04","927.17","48.53","661.57","708.86","48.27","473.19","492.88","48.98","41.4","31.86","56.51","454.28","464.35","49.45","182.29","192.89","48.59","23.38","14.72","61.37","8.75","93.54","1.023","264","399","397","39.94"
"","Johnny Oduya","OTT","D","44","624.01666666667","580.96","616.68","48.51","445.86","421.95","51.38","311.4","306.96","50.36","25.84","25.42","50.41","257.74","298.04","46.37","102.42","104.04","49.61","14.95","14.13","51.40","8.30","91.72","1.000","184","253","202","47.67"
"","Oskar Sundqvist","STL","C","30","281.98333333333","246.75","262.15","48.49","198.09","188.83","51.20","133.43","132.68","50.14","6.15","8.96","40.69","117.25","106.87","52.32","55.67","38.58","59.07","5.18","4.16","55.45","4.61","93.25","0.979","61","96","116","34.46"
"","Eric Fehr","TOR","C","4","27.166666666667","19.96","21.21","48.48","16.57","16.49","50.12","10.29","13.66","42.95","0.95","1.95","32.79","9.13","8.77","51.01","6.36","0.8","88.81","0","0.9","0.00","9.25","85.73","0.950","3","10","12","20.00"
"","Matt Calvert","CBJ","L","41","480.73333333333","460.91","489.8","48.48","360.69","357.93","50.19","269.9","264.39","50.52","23.23","25.94","47.24","239.26","252.21","48.68","101.89","101.64","50.06","10.91","18","37.72","8.61","90.19","0.988","158","172","192","45.14"
"","Roman Polak","TOR","D","34","479.65","494.76","526.78","48.43","359.7","415.03","46.43","258.84","304.26","45.97","17.41","21.89","44.30","255.28","254.22","50.10","98.28","78.29","55.66","7.3","11.94","37.96","6.73","92.80","0.995","117","151","150","43.82"
"","Adrian Kempe","L.A","L","52","590.83333333333","571.91","609.04","48.43","422.93","483.47","46.66","284.72","334.22","46.00","33.03","15.77","67.68","277.72","305.11","47.65","83.17","127.58","39.46","18.75","11.64","61.69","11.60","95.28","1.069","222","210","96","69.81"
"","Jordan Schmaltz","STL","D","4","45.133333333333","31.59","33.69","48.39","21.78","21.59","50.23","17.9","17.38","50.75","0.93","1.06","46.73","15.29","8.56","64.12","3.84","5.33","41.88","0","1.07","0.00","5.20","93.89","0.991","21","12","11","65.63"
"","Yannick Weber","NSH","D","31","352.31666666667","311.2","332.07","48.38","237","245.47","49.12","159.3","178.49","47.16","10.14","9.82","50.81","156.55","160.44","49.39","57.44","65.85","46.59","7.25","5","59.20","6.37","94.50","1.009","130","110","101","56.28"
"","Sam Reinhart","BUF","C","54","660.8","574.62","613.48","48.36","443.5","473.01","48.39","323.21","343.77","48.46","21.03","25.17","45.52","262.45","261.35","50.11","93.83","103.19","47.62","13.26","15.09","46.78","6.51","92.68","0.992","220","223","200","52.38"
"","Anders Lee","NYI","L","55","743.6","727.94","777.57","48.35","526.62","607.62","46.43","380.65","439.68","46.40","40.7","40.65","50.03","386.38","421.67","47.82","158.47","161.65","49.50","27.87","25.82","51.91","10.69","90.75","1.014","297","269","250","54.30"
"","Michael Stone","CGY","D","54","698.43333333333","700.59","748.88","48.33","510.39","531.78","48.97","354.19","365.74","49.20","24.46","28.59","46.11","341.3","332.79","50.63","128.54","113.38","53.13","17.47","14.56","54.54","6.91","92.18","0.991","202","264","218","48.10"
"","Vincent Trocheck","FLA","C","51","716.06666666667","718.26","768.03","48.33","565.66","601.44","48.47","401.34","443.51","47.50","31.69","37.75","45.63","327.47","376.18","46.54","112.42","150.38","42.78","20.74","23.63","46.74","7.90","91.49","0.994","220","289","290","43.14"
"","Jonathan Drouin","MTL","C","49","636.03333333333","632.73","676.56","48.33","456.87","502.98","47.60","339.61","366.83","48.07","16.88","32.39","34.25","305.59","339.22","47.39","117.2","129.92","47.43","10.99","24.29","31.16","4.97","91.17","0.961","238","207","162","59.50"
"","Eric Staal","MIN","C","54","699.65","678.72","726.31","48.31","522.01","561.49","48.18","394.9","414.03","48.82","37.93","38.46","49.65","339.63","353.69","48.99","146.32","136.45","51.75","27.07","19.85","57.70","9.60","90.71","1.003","193","255","218","46.96"
"","Chris Kreider","NYR","L","37","443.95","431.68","461.83","48.31","331.18","352.47","48.44","242.48","250.77","49.16","17.76","14.96","54.27","219.18","226.69","49.16","89.01","84.81","51.21","12.59","8.28","60.33","7.32","94.03","1.014","160","152","136","54.05"
"","Matt Hunwick","PIT","D","33","495.31666666667","483.91","518.09","48.29","365.03","395.7","47.98","277.69","294.18","48.56","16.02","23.45","40.58","234.5","263.44","47.09","87.54","111.56","43.97","7.3","14.44","33.58","5.77","92.03","0.978","154","184","155","49.84"
"","Ryan Reaves","PIT","R","52","345.55","294.46","315.51","48.27","224.69","220.81","50.43","166.88","155.32","51.79","10.97","18.07","37.77","131.41","140.82","48.27","63.89","62.3","50.63","4.25","9.28","31.39","6.57","88.37","0.949","86","115","105","45.03"
"","Scottie Upshall","STL","R","52","485.1","449.6","482.01","48.26","340.98","339.24","50.13","258.31","242.54","51.57","17.91","19.87","47.41","195.4","221.71","46.85","74.33","68.68","51.98","8.93","8.01","52.70","6.93","91.81","0.987","104","146","215","32.60"
"","Nick Cousins","ARI","C","43","480","434.34","466.06","48.24","314.06","348.14","47.43","228.92","232.36","49.63","14.25","21.67","39.67","215.52","204.2","51.35","88.18","92.52","48.80","10.31","9.72","51.47","6.23","90.67","0.969","121","137","166","42.16"
"","Pavel Buchnevich","NYR","R","50","558.93333333333","541.11","580.8","48.23","410.03","448.47","47.76","311.72","315.81","49.67","25.29","18.91","57.22","275.18","279.82","49.58","123.79","116.37","51.54","19.07","6.16","75.57","8.11","94.01","1.021","207","185","156","57.02"
"","Ryan Pulock","NYI","D","41","600.36666666667","559.59","600.62","48.23","420.58","455.1","48.03","322.26","321.13","50.09","32.95","31.8","50.88","269.11","341.73","44.06","112.47","131.45","46.11","21.79","22.67","49.01","10.22","90.10","1.003","204","222","200","50.50"
"","Riley Sheahan","DET","C","8","56.3","53.59","57.54","48.22","43.88","41.78","51.22","29.84","30.91","49.11","1.06","1.02","51.06","24.41","31.4","43.74","12.07","11.86","50.44","1.07","1.02","51.33","3.56","96.71","1.003","12","11","19","38.71"
"","John Tavares","NYI","C","55","772.7","759.44","815.69","48.21","557.99","637.85","46.66","400.98","462.87","46.42","43.62","39.75","52.32","401.49","451.61","47.06","159.95","181.7","46.82","28.68","27.66","50.91","10.88","91.41","1.023","303","257","269","52.97"
"","Peter Cehlarik","BOS","L","6","70.666666666667","72.4","77.77","48.21","62.08","56.61","52.31","50.61","44.39","53.27","4","1.96","67.15","33.29","34.86","48.85","11.69","16.05","42.15","1.02","0","100.00","7.90","95.59","1.035","39","32","18","68.42"
"","Niklas Kronwall","DET","D","49","725.75","619.59","666.32","48.18","473.53","502.27","48.53","350.48","362.22","49.18","22","27.38","44.56","305.56","313.83","49.33","121.35","118.27","50.64","12","15.52","43.60","6.28","92.44","0.987","297","250","161","64.85"
"","Gustav Nyquist","DET","R","52","740.03333333333","655.39","705.2","48.17","502.7","550.12","47.75","359.96","392.23","47.85","26.79","25.11","51.62","325.26","332.86","49.42","134.44","119.19","53.01","17.03","9.24","64.84","7.44","93.60","1.010","255","241","220","53.68"
"","Magnus Paajarvi","OTT","L","6","74.783333333333","80.01","86.08","48.17","62.56","60.37","50.89","47.52","39.91","54.36","1.86","0","100.00","27.07","32.48","45.46","14.02","12.69","52.50","1.85","0","100.00","3.91","100.00","1.039","10","25","23","30.30"
"","Keith Yandle","FLA","D","51","863.15","834","897.61","48.16","652.96","704.76","48.09","464.38","518.65","47.24","35.67","34.48","50.85","371.53","422.15","46.81","130.1","164.02","44.23","16.65","21.5","43.65","7.68","93.35","1.010","279","334","358","43.80"
"","Curtis Lazar","CGY","C","39","333.81666666667","314.54","338.7","48.15","238.08","250.34","48.74","167.32","171.81","49.34","6.73","14.25","32.08","153.35","150.57","50.46","58.75","51.39","53.34","4.84","6.24","43.68","4.02","91.70","0.957","99","119","93","51.56"
"","Ales Hemsky","MTL","R","7","47.316666666667","42.95","46.38","48.08","31.69","35.25","47.34","23.05","21.98","51.19","0","1.02","0.00","15.8","19.84","44.33","7.15","8.61","45.36","0","1.02","0.00","0.00","95.37","0.954","25","18","17","59.52"
"","Wayne Simmonds","PHI","R","54","678.48333333333","609.54","658.15","48.08","457.96","492.88","48.16","324.56","332.38","49.40","16.57","23.55","41.30","294.53","297.15","49.78","101.84","112.42","47.53","9.91","8.35","54.28","5.11","92.91","0.980","204","240","225","47.55"
"","Jonathan Ericsson","DET","D","52","823.8","730.31","789.94","48.04","595.13","606.25","49.54","400.58","450.12","47.09","30.64","34.33","47.16","343.48","401.78","46.09","141.58","153.44","47.99","20.56","20.39","50.21","7.65","92.37","1.000","217","294","345","38.61"
"","Dean Kukan","CBJ","D","5","62.983333333333","62.96","68.2","48.00","50.41","48.23","51.10","37.74","37.16","50.39","3.86","2.02","65.69","36.08","27.84","56.45","14.26","10.94","56.59","1.07","1.08","49.81","10.23","94.58","1.048","25","16","26","49.02"
"","Kris Russell","EDM","D","52","807.15","774.67","839.66","47.99","578.94","573.92","50.22","416.96","416.55","50.02","31.66","33.35","48.70","398.07","413.28","49.06","147.9","146.27","50.28","10.99","15.53","41.45","7.59","91.99","0.996","258","283","242","51.60"
"","Carter Rowney","PIT","R","30","214.38333333333","192.07","208.34","47.97","141.6","143.7","49.63","105.36","101.96","50.82","3.94","12","24.72","76.79","101.05","43.18","34.48","32.06","51.82","0.92","3.14","22.68","3.74","88.23","0.920","37","67","100","27.01"
"","Mike Hoffman","OTT","L","53","715.05","709.28","769.51","47.96","540.61","563.63","48.96","379.99","407.24","48.27","29.62","35.05","45.80","333.65","386.96","46.30","119.81","138.08","46.46","15.77","18.12","46.53","7.79","91.39","0.992","268","267","246","52.14"
"","J.T. Compher","COL","L","40","463.13333333333","416.38","451.8","47.96","300.56","343.12","46.69","228.02","243.78","48.33","14.07","17.64","44.38","192.87","204.87","48.49","63.82","81","44.07","10.01","8.7","53.50","6.17","92.76","0.989","117","168","132","46.99"
"","Aaron Ekblad","FLA","D","51","869.36666666667","843.4","915.26","47.96","665.19","723.34","47.91","478.95","527.37","47.59","35.44","39.59","47.23","388.08","442.53","46.72","134.65","180.32","42.75","18.43","23.48","43.97","7.40","92.49","0.999","277","336","348","44.32"
"","Christian Fischer","ARI","R","51","604.41666666667","579.77","629.11","47.96","438.15","478.54","47.80","321.11","330.52","49.28","18.21","25.93","41.26","267.01","298.19","47.24","128.24","116.18","52.47","10.27","15.24","40.25","5.67","92.16","0.978","172","207","231","42.68"
"","Mark Letestu","EDM","C","51","416.56666666667","386.33","419.37","47.95","277.4","299.64","48.07","196.05","220.5","47.06","10.81","23.24","31.75","162.1","198.45","44.96","61.33","76.51","44.50","5.07","12.17","29.39","5.51","89.46","0.950","134","119","161","45.42"
"","Reid Boucher","VAN","C","4","37","32.78","35.58","47.95","25.43","25.63","49.81","14.14","18.08","43.88","0","5.13","0.00","17.6","20.15","46.63","1.77","5.26","25.18","0","2.01","0.00","0.00","71.64","0.716","9","18","15","37.50"
"","Marc Methot","DAL","D","16","261.23333333333","241.62","262.53","47.93","176.96","181.88","49.31","118.16","136.52","46.39","10","8.85","53.05","107.56","131.02","45.08","41.87","50.83","45.17","7.01","2.02","77.64","8.46","93.52","1.020","78","133","110","41.49"
"","Cam Fowler","ANA","D","43","750.08333333333","676.71","735.15","47.93","508.19","549.12","48.06","357.87","397.38","47.38","21.88","27.11","44.66","335.32","351.85","48.80","151.8","145.91","50.99","15.71","17.26","47.65","6.11","93.18","0.993","216","294","255","45.86"
"","Ben Hutton","VAN","D","47","715.13333333333","608.69","661.17","47.93","452.36","529.6","46.07","330.56","370.4","47.16","23.37","26.87","46.52","285.47","343.28","45.40","103.9","112.21","48.08","16.58","12.99","56.07","7.07","92.75","0.998","220","273","220","50.00"
"","Brandon Montour","ANA","D","53","764.65","748.93","813.67","47.93","556.39","605.05","47.91","390.11","398.98","49.44","36.81","27.86","56.92","341.84","396.28","46.31","118.53","157.45","42.95","20.91","18.69","52.80","9.44","93.02","1.025","265","251","232","53.32"
"","Gabriel Carlsson","CBJ","D","14","151.35","152.38","165.56","47.93","113.84","123.5","47.97","88.96","86.85","50.60","4.11","5.19","44.23","79.09","75.23","51.25","31.31","36.52","46.16","3.16","2.14","59.60","4.62","94.03","0.987","53","39","44","54.64"
"","Zack Kassian","EDM","R","51","485.65","437.38","475.54","47.91","316.45","352.81","47.28","223.8","253.98","46.84","13.99","20.27","40.84","201.18","237.62","45.85","77.19","84.04","47.88","7.09","11.16","38.84","6.25","92.02","0.983","131","152","141","48.16"
"","Joel Eriksson Ek","MIN","C","47","546.68333333333","478.59","520.47","47.90","364.27","370.98","49.54","285.51","255.97","52.73","12.96","12.78","50.35","219.27","207.32","51.40","89.58","74.13","54.72","7.96","5.96","57.18","4.54","95.01","0.995","181","194","182","49.86"
"","Ryan Dzingel","OTT","L","53","693.48333333333","686.8","747.84","47.87","494.93","549.71","47.38","353.98","408.99","46.40","28.69","37.98","43.03","308.52","358.56","46.25","120.18","134.94","47.11","16.12","22.14","42.13","8.11","90.71","0.988","225","233","198","53.19"
"","Adam Pelech","NYI","D","51","804.73333333333","769.41","838.92","47.84","563.79","625.47","47.41","417.23","459.68","47.58","41.97","35.37","54.27","410.24","433.57","48.62","179.99","157.08","53.40","23.8","24.44","49.34","10.06","92.31","1.024","192","295","291","39.75"
"","Henrik Zetterberg","DET","C","52","808.85","717.89","785.01","47.77","554.38","603.1","47.90","402.19","436.05","47.98","32.98","27.18","54.82","358.05","366.99","49.38","148.17","130.3","53.21","21.18","11.08","65.65","8.20","93.77","1.020","265","260","237","52.79"
"","Thomas Chabot","OTT","D","34","439.16666666667","428.28","468.85","47.74","306.11","357.06","46.16","213.12","265.86","44.49","18.9","23.01","45.10","186.77","207.81","47.33","65.52","75.86","46.34","8.99","9.94","47.50","8.87","91.35","1.002","174","144","104","62.59"
"","Patrik Nemeth","COL","D","39","571.48333333333","540.05","591.41","47.73","404.68","425.19","48.76","297.95","318.36","48.34","30.43","22.58","57.41","278.11","274.85","50.30","103.52","100.65","50.70","18.4","14.57","55.80","10.21","92.91","1.031","140","204","188","42.68"
"","Joshua Ho-Sang","NYI","R","22","245.2","220.61","241.57","47.73","167.51","183.41","47.74","126.28","136.79","48.00","12.24","15.06","44.84","105.93","136.16","43.76","41.99","56.11","42.80","4.08","11.04","26.99","9.69","88.99","0.987","66","90","60","52.38"
"","Lukas Sedlak","CBJ","C","40","351.2","296.45","324.79","47.72","232.68","242.38","48.98","167.79","175.71","48.85","12.82","15.24","45.69","129.07","154.47","45.52","50.3","65.61","43.39","3.94","8.1","32.71","7.64","91.33","0.990","86","115","128","40.19"
"","Logan Shaw","ANA","C","42","375.36666666667","333.22","365.08","47.72","253.19","276.21","47.83","180.23","180.99","49.90","12.18","13.01","48.35","163.61","193.5","45.81","61.04","70.74","46.32","6.18","6.07","50.45","6.76","92.81","0.996","110","119","125","46.81"
"","Kyle Connor","WPG","L","48","637.78333333333","589.72","646.87","47.69","449.04","476.88","48.50","339.1","351.72","49.09","29.84","23.93","55.50","263.12","299.73","46.75","105.47","101.63","50.93","16.87","13.94","54.75","8.80","93.20","1.020","227","237","188","54.70"
"","Brandon Dubinsky","CBJ","C","35","482.43333333333","473.65","520.04","47.67","366.39","368.71","49.84","267.08","274.79","49.29","19.55","17.78","52.37","240.35","234.86","50.58","92.7","91.65","50.28","10.69","12.91","45.30","7.32","93.53","1.008","150","174","241","38.36"
"","Austin Watson","NSH","L","51","478.26666666667","403.63","443.17","47.67","293.3","312.22","48.44","204.08","231.82","46.82","11.15","18.01","38.24","170.6","187.73","47.61","65.78","71.53","47.90","4.96","8.83","35.96","5.46","92.23","0.977","109","165","212","33.96"
"","Jayson Megna","VAN","C","1","3.8333333333333","2.82","3.1","47.67","2.83","3.1","47.72","2.84","3.09","47.92","0","0","0.00","1.82","2.1","46.45","0","1.07","0.00","0","0","0.00","0.00","100.00","1.000","1","4","2","33.33"
"","Jack Eichel","BUF","C","54","777.66666666667","703.74","773.19","47.65","554.85","603.49","47.90","411.09","444.6","48.04","33.25","37.42","47.05","337.83","360.8","48.36","137.04","160.39","46.07","22.77","27.38","45.40","8.09","91.58","0.997","344","276","222","60.78"
"","Marcus Foligno","MIN","L","51","538.2","439.06","482.67","47.63","334.03","350.99","48.76","256.79","253.67","50.31","22","20.59","51.66","193.26","223.95","46.32","80.73","73.65","52.29","12.03","10.65","53.04","8.57","91.88","1.005","170","191","169","50.15"
"","Devin Shore","DAL","C","55","650.18333333333","564.15","621.25","47.59","415.87","450.01","48.03","301.3","324.14","48.17","15.7","30.71","33.83","269.6","293.08","47.91","119.76","94.84","55.81","11.81","8.78","57.37","5.21","90.53","0.957","186","231","229","44.82"
